transaction_id,customer_id,account_age_days,transaction_amount,timestamp,is_fraud,hour,weekday,month,is_high_value,transaction_amount_log,channel_Atm,channel_Mobile,channel_Pos,channel_Web,kyc_verified_No,kyc_verified_Yes
TXN_200000,CUST_799,1050,256369.0,2025-08-12 02:10:24,0,2,1,8,1,12.454376992502883,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200001,CUST_484,295,6581.0,2025-08-25 01:14:31,0,1,0,8,0,8.792093929503284,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200002,CUST_791,2083,4492.0,2025-08-17 12:12:40,0,12,6,8,0,8.41027590907016,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200003,CUST_664,2789,275413.0,2025-08-07 06:23:54,0,6,3,8,1,12.526030699133504,0.0,0.0,1.0,0.0,0.0,1.0
TXN_200004,CUST_157,694,98098.0,2025-08-20 21:55:54,0,21,2,8,1,11.49373245182158,0.0,0.0,1.0,0.0,0.0,1.0
TXN_200005,CUST_654,1624,14744.0,2025-08-17 12:32:58,0,12,6,8,0,9.598659321249377,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200006,CUST_288,2506,5896.0,2025-08-23 01:48:53,0,1,5,8,0,8.682199026000504,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200007,CUST_135,2001,5276.0,2025-08-02 07:31:35,0,7,5,8,0,8.571113033405668,0.0,0.0,0.0,1.0,1.0,0.0
TXN_200008,CUST_738,2276,16030.0,2025-08-10 03:59:35,0,3,6,8,0,9.682279626689674,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200009,CUST_639,1980,5294.0,2025-08-24 00:20:12,0,0,6,8,0,8.574518258035507,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200010,CUST_526,1398,69506.0,2025-08-23 03:36:52,0,3,5,8,1,11.149182745905483,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200011,CUST_234,2990,20428.0,2025-08-14 07:00:26,0,7,3,8,0,9.924710738987654,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200012,CUST_625,1957,125754.0,2025-08-22 23:22:59,0,23,4,8,1,11.742090848602933,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200013,CUST_137,688,6451.0,2025-08-12 06:32:45,1,6,1,8,0,8.772145439245099,0.0,0.0,0.0,1.0,1.0,0.0
TXN_200014,CUST_584,1384,11780.0,2025-08-12 11:08:57,0,11,1,8,0,9.37424334324612,0.0,1.0,0.0,0.0,1.0,0.0
TXN_200015,CUST_408,534,214584.0,2025-08-06 21:54:51,1,21,2,8,1,12.276461209252101,0.0,0.0,0.0,1.0,1.0,0.0
TXN_200016,CUST_777,2515,44628.0,2025-08-05 04:51:42,0,4,1,8,0,10.70613915091923,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200017,CUST_381,2642,7166.0,2025-08-20 06:50:29,0,6,2,8,0,8.877242435993919,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200018,CUST_127,2086,6814.0,2025-08-09 08:05:24,0,8,5,8,0,8.826881344130634,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200019,CUST_451,462,14017.0,2025-08-20 19:00:24,0,19,2,8,0,9.54809749706027,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200020,CUST_612,259,10479.0,2025-08-04 00:43:17,0,0,0,8,0,9.257223957875032,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200021,CUST_435,1002,141766.0,2025-08-04 12:37:16,1,12,0,8,1,11.8619401438523,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200022,CUST_630,2184,176991.0,2025-08-18 15:40:14,1,15,0,8,1,12.083859812794405,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200023,CUST_194,1014,3768.0,2025-08-19 05:43:22,0,5,1,8,0,8.234564993267135,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200024,CUST_682,2083,4904.0,2025-08-03 23:34:35,0,23,6,8,0,8.498010371999463,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200025,CUST_641,389,12674.0,2025-08-16 12:58:49,0,12,5,8,0,9.447386828459384,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200026,CUST_507,923,134076.0,2025-08-18 00:07:21,1,0,0,8,1,11.806169540763921,0.0,0.0,1.0,0.0,1.0,0.0
TXN_200027,CUST_212,2668,7307.0,2025-08-02 17:09:39,0,17,5,8,0,8.896724917497897,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200028,CUST_424,1135,5936.0,2025-08-17 15:07:56,0,15,6,8,0,8.688959234270676,1.0,0.0,0.0,0.0,1.0,0.0
TXN_200029,CUST_106,1174,9784.0,2025-08-17 18:54:19,0,18,6,8,0,9.188605879830176,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200030,CUST_309,2229,5062.0,2025-08-11 10:07:23,0,10,0,8,0,8.529714471969909,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200031,CUST_242,2920,4677.0,2025-08-22 12:04:51,0,12,4,8,0,8.450625947144124,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200032,CUST_787,1669,5160.0,2025-08-11 10:20:41,0,10,0,8,0,8.548885638148727,0.0,0.0,1.0,0.0,0.0,1.0
TXN_200033,CUST_514,880,4523.0,2025-08-06 21:43:40,0,21,2,8,0,8.41715183723601,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200034,CUST_217,1243,5316.0,2025-08-02 22:11:31,0,22,5,8,0,8.57866451350434,1.0,0.0,0.0,0.0,1.0,0.0
TXN_200035,CUST_689,492,6438.0,2025-08-16 11:34:01,0,11,5,8,0,8.770128527538184,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200036,CUST_122,1669,12439.0,2025-08-03 02:09:23,0,2,6,8,0,9.42867236629317,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200037,CUST_397,500,42096.0,2025-08-03 20:20:13,0,20,6,8,0,10.647731758224072,0.0,1.0,0.0,0.0,1.0,0.0
TXN_200038,CUST_610,648,5347.0,2025-08-04 19:57:44,0,19,0,8,0,8.584477938221834,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200039,CUST_171,2880,190257.0,2025-08-01 06:53:21,0,6,4,8,1,12.156136324774156,1.0,0.0,0.0,0.0,1.0,0.0
TXN_200040,CUST_521,1846,6066.0,2025-08-18 16:29:31,0,16,0,8,0,8.710619527942297,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200041,CUST_303,2687,180326.0,2025-08-22 19:35:32,0,19,4,8,1,12.102527148395907,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200042,CUST_324,711,4916.0,2025-08-14 18:02:50,0,18,3,8,0,8.50045386741194,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200043,CUST_115,1171,7296.0,2025-08-13 17:49:47,0,17,2,8,0,8.89521858376562,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200044,CUST_662,1094,290970.0,2025-08-04 19:29:58,0,19,0,8,1,12.580978884830216,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200045,CUST_111,2600,6807.0,2025-08-03 06:03:48,0,6,6,8,0,8.82585367025321,1.0,0.0,0.0,0.0,1.0,0.0
TXN_200046,CUST_365,459,162442.0,2025-08-09 06:00:46,1,6,5,8,1,11.998082449987244,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200047,CUST_313,749,3325.0,2025-08-03 15:37:50,1,15,6,8,0,8.109525659752872,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200048,CUST_166,2850,5498.0,2025-08-04 13:51:34,0,13,0,8,0,8.612321536507814,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200049,CUST_693,486,7056.0,2025-08-25 17:38:44,0,17,0,8,0,8.86177531100083,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200050,CUST_377,624,12421.0,2025-08-13 19:29:20,0,19,2,8,0,9.427224373119248,0.0,0.0,0.0,1.0,1.0,0.0
TXN_200051,CUST_114,2773,136331.0,2025-08-19 01:58:11,0,1,1,8,1,11.822848366357904,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200052,CUST_174,2333,10160.0,2025-08-10 17:52:50,0,17,6,8,0,9.22631214148588,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200053,CUST_175,2622,4688.0,2025-08-06 20:03:37,0,20,2,8,0,8.452974619089586,1.0,0.0,0.0,0.0,1.0,0.0
TXN_200054,CUST_693,665,14948.0,2025-08-21 17:24:03,0,17,3,8,0,9.612399686949514,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200055,CUST_354,598,7265.0,2025-08-01 07:18:19,0,7,4,8,0,8.890961212781146,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200056,CUST_232,2206,5637.0,2025-08-09 14:30:05,0,14,5,8,0,8.637284671674058,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200057,CUST_755,151,14898.0,2025-08-03 15:31:07,0,15,6,8,0,9.60904937558734,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200058,CUST_184,1645,5804.0,2025-08-10 05:37:29,0,5,6,8,0,8.666474894131992,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200059,CUST_782,1596,9134.0,2025-08-17 22:30:51,0,22,6,8,0,9.119868468812108,0.0,1.0,0.0,0.0,1.0,0.0
TXN_200060,CUST_389,391,2865.0,2025-08-15 18:21:30,0,18,4,8,0,7.960672608388117,0.0,1.0,0.0,0.0,1.0,0.0
TXN_200061,CUST_100,93,199623.0,2025-08-17 05:17:53,0,5,6,8,1,12.204190876112156,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200062,CUST_211,1177,8878.0,2025-08-20 20:43:07,0,20,2,8,0,9.091444217032327,0.0,0.0,0.0,1.0,1.0,0.0
TXN_200063,CUST_609,1205,147306.0,2025-08-11 19:55:08,1,19,0,8,1,11.9002741233854,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200064,CUST_720,802,12726.0,2025-08-12 07:14:15,0,7,1,8,0,9.451480999992047,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200065,CUST_430,478,113523.0,2025-08-14 02:28:54,0,2,3,8,1,11.639769547294895,0.0,1.0,0.0,0.0,0.0,1.0
TXN_200066,CUST_795,1184,16143.0,2025-08-20 10:34:52,0,10,2,8,0,9.68930374259339,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200067,CUST_496,1340,8264.0,2025-08-13 08:35:08,0,8,2,8,0,9.019785010255125,1.0,0.0,0.0,0.0,0.0,1.0
TXN_200068,CUST_267,2662,3935.0,2025-08-14 00:38:36,0,0,3,8,0,8.277920258172143,0.0,0.0,0.0,1.0,0.0,1.0
TXN_200069,CUST_140,2998,11163.0,2025-08-21 12:30:49,0,12,3,8,0,9.320449594656212,0.0,0.0,0.0,1.0,0.0,1.0
